,dataset_index
0,842
1,1502
2,2265
3,6311
4,2107
5,6818
6,5988
7,776
8,5047
9,871
10,4693
11,2057
12,3680
13,990
14,6790
15,5386
16,7383
17,8060
18,5537
19,2484
20,1453
21,6255
22,1335
23,3270
24,3297
25,7011
26,5886
27,1435
28,7156
29,2603
30,4917
31,4997
32,296
33,4173
34,5489
35,5516
36,1771
37,1392
38,8045
39,2623
40,5846
41,7950
42,1222
43,2922
44,6152
45,6868
46,3539
47,7334
48,3135
49,5696
50,626
51,2452
52,5335
53,4706
54,11
55,1086
56,306
57,2010
58,1741
59,6960
60,7312
61,5183
62,430
63,1934
64,7732
65,7122
66,2880
67,4623
68,6999
69,4682
70,3964
71,5768
72,1300
73,890
74,2179
75,4124
76,577
77,7254
78,3885
79,7055
80,5841
81,4433
82,3857
83,7791
84,3052
85,317
86,627
87,5050
88,8081
89,1262
90,224
91,3542
92,7432
93,6917
94,5798
95,3282
96,7466
97,7138
98,7753
99,1504
100,1982
101,7969
102,4380
103,5343
104,7311
105,5462
106,1732
107,6780
108,3044
109,1805
110,844
111,1618
112,5103
113,1198
114,2320
115,2804
116,3435
117,4373
118,4187
119,2181
120,3396
121,7978
122,4655
123,1011
124,1796
125,1590
126,6440
127,6261
128,6331
129,6123
130,6839
131,7091
132,2827
133,2120
134,1767
135,2788
136,7381
137,4123
138,3997
139,3249
140,2600
141,3229
142,3611
143,3460
144,6039
145,7121
146,4056
147,1944
148,4818
149,162
150,6730
151,4035
152,3698
153,345
154,5196
155,4059
156,2769
157,3802
158,3220
159,2471
160,1833
161,4919
162,2124
163,822
164,314
165,7135
166,1910
167,5686
168,4371
169,4028
170,7896
171,7073
172,2527
173,2621
174,236
175,7993
176,2211
177,2608
178,7349
179,3683
180,264
181,4720
182,1360
183,7770
184,1761
185,2888
186,301
187,6769
188,4676
189,1559
190,2599
191,3337
192,7059
193,297
194,7265
195,1212
196,2268
197,7449
198,2113
199,5483
200,303
201,965
202,1938
203,5051
204,476
205,4197
206,5291
207,2343
208,4734
209,6749
210,7632
211,1425
212,7652
213,3957
214,7545
215,8072
216,825
217,7843
218,7640
219,7733
220,797
221,879
222,459
223,8124
224,7715
225,5129
226,2053
227,1341
228,1799
229,7034
230,4912
231,2037
232,7388
233,5273
234,5267
235,5070
236,2884
237,8073
238,7796
239,3980
240,1424
241,4406
242,291
243,4569
244,913
245,3905
246,7408
247,6882
248,932
249,1385
250,930
251,3644
252,7882
253,832
254,1433
255,3838
256,7949
257,6779
258,1313
259,817
260,1568
261,1325
262,6742
263,4577
264,8136
265,40
266,5080
267,792
268,6828
269,6568
270,1529
271,3388
272,5789
273,6381
274,5561
275,4142
276,2985
277,1217
278,616
279,3812
280,4496
281,5732
282,1912
283,2126
284,6346
285,2001
286,5097
287,3127
288,2185
289,6657
290,6309
291,3053
292,5817
293,5060
294,6130
295,4829
296,5289
297,1536
298,3421
299,744
300,7846
301,2995
302,4582
303,5475
304,5053
305,3193
306,7072
307,2800
308,237
309,4768
310,6575
311,3323
312,4365
313,1032
314,1496
315,1787
316,7063
317,3961
318,5890
319,4011
320,1525
321,55
322,2830
323,2650
324,7603
325,1475
326,7967
327,5396
328,6721
329,2903
330,4506
331,274
332,1820
333,6005
334,4845
335,6065
336,1386
337,1567
338,2293
339,2371
340,7188
341,7291
342,2160
343,1367
344,2366
345,6963
346,656
347,1270
348,7086
349,4262
350,5656
351,3067
352,528
353,3637
354,2968
355,2727
356,585
357,6398
358,1517
359,4794
360,7049
361,2567
362,5001
363,6711
364,6516
365,4667
366,1053
367,4251
368,3800
369,2945
370,6477
371,1065
372,66
373,2564
374,2633
375,5772
376,3652
377,7823
378,377
379,3937
380,7399
381,2152
382,3331
383,6174
384,5746
385,1507
386,254
387,6682
388,1768
389,3616
390,3994
391,5253
392,967
393,6345
394,3006
395,332
396,6441
397,7351
398,3363
399,6288
400,8012
401,4510
402,1429
403,5380
404,3278
405,3843
406,448
407,4800
408,732
409,3998
410,7874
411,4485
412,1532
413,6853
414,683
415,7854
416,4904
417,4172
418,2184
419,5948
420,433
421,2723
422,4550
423,5528
424,828
425,7741
426,7477
427,4942
428,1636
429,7208
430,5239
431,3689
432,2254
433,4362
434,1331
435,1879
436,3148
437,2386
438,1548
439,3063
440,1531
441,7888
442,6547
443,8089
444,6696
445,1871
446,582
447,1563
448,1867
449,6112
450,5799
451,5907
452,447
453,6251
454,7427
455,1305
456,621
457,5538
458,2560
459,1477
460,6055
461,148
462,5350
463,6359
464,5121
465,4970
466,2900
467,1398
468,7319
469,7999
470,7985
471,3635
472,5306
473,6029
474,5477
475,5275
476,2475
477,7748
478,565
479,4113
480,7224
481,1034
482,5283
483,3780
484,3264
485,6102
486,5401
487,809
488,2156
489,4336
490,2385
491,4423
492,393
493,453
494,1585
495,4718
496,4246
497,6878
498,4148
499,6479
500,5292
501,1245
502,4067
503,7971
504,3537
505,6260
506,7829
507,3461
508,8091
509,2180
510,5770
511,6483
512,2076
513,3345
514,5112
515,4394
516,837
517,8109
518,2071
519,3888
520,182
521,6636
522,2256
523,4010
524,7206
525,3245
526,6482
527,2317
528,7948
529,1533
530,2026
531,6244
532,6735
533,4953
534,7810
535,1301
536,4732
537,2246
538,7502
539,263
540,2512
541,2060
542,1843
543,5
544,1831
545,3918
546,6934
547,1823
548,4299
549,2842
550,6605
551,3846
552,6975
553,6176
554,3089
555,4354
556,7294
557,872
558,7298
559,4286
560,7503
561,3929
562,7560
563,7964
564,1348
565,2509
566,6466
567,3570
568,3859
569,1503
570,2383
571,3891
572,8075
573,3315
574,2372
575,143
576,4273
577,2847
578,1509
579,1351
580,4428
581,2592
582,7510
583,3617
584,8008
585,1260
586,4993
587,5266
588,30
589,1277
590,1524
591,5088
592,188
593,7328
594,82
595,6069
596,802
597,807
598,4258
599,8153
600,3826
601,3695
602,4042
603,3948
604,1539
605,7302
606,4726
607,7841
608,4204
609,5500
610,3473
611,5640
612,2477
613,7684
614,7220
615,7436
616,6675
617,4973
618,4016
619,6512
620,2541
621,934
622,2204
623,5810
624,2149
625,5521
626,3234
627,5017
628,1984
629,6401
630,2271
631,5874
632,1080
633,6897
634,7642
635,7
636,2579
637,806
638,4731
639,2193
640,3768
641,1026
642,5914
643,3172
644,466
645,1562
646,7263
647,660
648,1056
649,2747
650,1147
651,2789
652,1902
653,6706
654,4019
655,1914
656,5269
657,4389
658,7083
659,6513
660,1906
661,1920
662,4475
663,5089
664,7065
665,642
666,3277
667,2865
668,4986
669,533
670,2150
671,6226
672,3439
673,728
674,3056
675,7297
676,5777
677,7385
678,101
679,6054
680,3320
681,4253
682,7048
683,20
684,4106
685,5408
686,7844
687,2901
688,1003
689,1714
690,1449
691,1025
692,3109
693,4304
694,6047
695,2568
696,2123
697,3226
698,5416
699,65
700,4498
701,6788
702,2062
703,3406
704,2238
705,6626
706,1267
707,1895
708,1613
709,5167
710,912
711,3860
712,8145
713,6940
714,470
715,5533
716,7955
717,950
718,1604
719,3550
720,552
721,5328
722,6096
723,5251
724,5120
725,14
726,347
727,4827
728,2491
729,2919
730,864
731,3208
732,6291
733,7885
734,5606
735,6530
736,1998
737,4591
738,4937
739,7216
740,1884
741,6862
742,4135
743,7147
744,6180
745,542
746,7097
747,4692
748,4153
749,1734
750,1645
751,7017
752,5130
753,6820
754,7518
755,7789
756,4007
757,6185
758,253
759,3732
760,1925
761,6986
762,6921
763,4290
764,5207
765,5614
766,5882
767,4680
768,2902
769,1051
770,2841
771,647
772,767
773,5649
774,8035
775,2963
776,1706
777,6220
778,4587
779,6977
780,3818
781,2597
782,1216
783,7125
784,5716
785,5333
786,3097
787,2516
788,1250
789,7105
790,7174
791,3457
792,5465
793,6354
794,4370
795,4853
796,4131
797,2191
798,5002
799,888
800,5458
801,2950
802,3900
803,648
804,5446
805,3031
806,4852
807,94
808,4782
809,7588
810,3248
811,6864
812,3029
813,7773
814,95
815,7881
816,6852
817,3934
818,5837
819,4062
820,1038
821,4287
822,5105
823,7943
824,579
825,3180
826,7332
827,3776
828,6866
829,6234
830,6496
831,6863
832,4164
833,1142
834,6717
835,132
836,5109
837,4110
838,3784
839,7586
840,6467
841,2241
842,2494
843,2262
844,3976
845,6551
846,5713
847,5719
848,2325
849,368
850,3210
851,3574
852,2507
853,4754
854,3040
855,6303
856,2015
857,3797
858,3454
859,4580
860,5432
861,5593
862,768
863,45
864,2721
865,2154
866,2868
867,2094
868,7595
869,7860
870,5491
871,6231
872,8107
873,6417
874,1929
875,7119
876,4073
877,7124
878,3808
879,3647
880,5657
881,2425
882,2857
883,1316
884,2423
885,7345
886,5455
887,1299
888,5193
889,3035
890,1923
891,643
892,2856
893,2216
894,5813
895,2906
896,7761
897,8048
898,2531
899,4350
900,7002
901,838
902,7336
903,1014
904,2545
905,4656
906,2103
907,555
908,283
909,1417
910,1412
911,7784
912,805
913,6129
914,3228
915,2526
916,5961
917,3955
918,7953
919,1460
920,7615
921,3798
922,5463
923,6172
924,3596
925,3107
926,2770
927,4355
928,4597
929,5170
930,7252
931,5545
932,7537
933,4722
934,1102
935,2735
936,6787
937,5221
938,3339
939,4388
940,6900
941,7357
942,4517
943,3398
944,3472
945,2217
946,444
947,7166
948,2110
949,7512
950,5400
951,5242
952,4813
953,2843
954,3822
955,6148
956,6733
957,185
958,7705
959,2938
960,4608
961,3307
962,458
963,2790
964,6599
965,1834
966,5466
967,7081
968,2929
969,4093
970,6460
971,3817
972,7435
973,3855
974,139
975,1581
976,3786
977,154
978,3141
979,276
980,6690
981,7920
982,1062
983,721
984,2751
985,775
986,7837
987,2125
988,2387
989,7235
990,7155
991,3350
992,7353
993,2168
994,5381
995,5018
996,19
997,6406
998,5353
999,4238
1000,1129
1001,1574
1002,7217
1003,5277
1004,5699
1005,3380
1006,5578
1007,7657
1008,7139
1009,6475
1010,4560
1011,2837
1012,3657
1013,2655
1014,4266
1015,3019
1016,6140
1017,3178
1018,563
1019,1905
1020,4359
1021,6957
1022,3080
1023,3485
1024,7713
1025,835
1026,2595
1027,169
1028,3969
1029,7571
1030,5932
1031,4901
1032,6912
1033,2282
1034,4634
1035,3932
1036,4654
1037,4861
1038,6003
1039,3090
1040,1145
1041,889
1042,4493
1043,3465
1044,8023
1045,289
1046,2067
1047,7566
1048,4555
1049,6294
1050,4280
1051,4728
1052,6221
1053,5902
1054,3853
1055,6506
1056,4094
1057,2063
1058,4358
1059,6160
1060,7207
1061,909
1062,6842
1063,3619
1064,3020
1065,7678
1066,4226
1067,3792
1068,7559
1069,400
1070,1099
1071,5893
1072,6556
1073,4265
1074,6926
1075,4422
1076,2237
1077,3656
1078,923
1079,3003
1080,1463
1081,2785
1082,4454
1083,1480
1084,2000
1085,5664
1086,6772
1087,211
1088,5511
1089,5199
1090,7165
1091,3890
1092,2763
1093,3794
1094,6710
1095,3816
1096,7499
1097,4109
1098,5544
1099,3982
1100,1406
1101,4513
1102,1408
1103,3765
1104,1762
1105,7890
1106,4020
1107,6720
1108,5031
1109,4397
1110,44
1111,7988
1112,873
1113,2419
1114,3649
1115,906
1116,1772
1117,1200
1118,1279
1119,3079
1120,2805
1121,4627
1122,6935
1123,544
1124,3471
1125,7899
1126,6830
1127,5502
1128,1726
1129,7806
1130,6399
1131,5186
1132,1855
1133,2397
1134,5347
1135,5421
1136,1699
1137,395
1138,1171
1139,5372
1140,2285
1141,3883
1142,5062
1143,4356
1144,5996
1145,6121
1146,2382
1147,5040
1148,4468
1149,408
1150,7489
1151,7175
1152,603
1153,614
1154,2983
1155,6020
1156,6061
1157,1990
1158,1442
1159,5758
1160,859
1161,4339
1162,7450
1163,6731
1164,2758
1165,7554
1166,5761
1167,6747
1168,2018
1169,1817
1170,316
1171,3156
1172,5349
1173,3956
1174,819
1175,3216
1176,7883
1177,1069
1178,2635
1179,3568
1180,3334
1181,1955
1182,3134
1183,5471
1184,2196
1185,193
1186,4899
1187,1314
1188,695
1189,4581
1190,6147
1191,6800
1192,1642
1193,2347
1194,769
1195,4757
1196,5990
1197,121
1198,2353
1199,5979
1200,5084
1201,6580
1202,7709
1203,1203
1204,6687
1205,1600
1206,7646
1207,4234
1208,2281
1209,3083
1210,7891
1211,5141
1212,6918
1213,5608
1214,6250
1215,5631
1216,5642
1217,3291
1218,2669
1219,72
1220,6397
1221,6851
1222,3663
1223,685
1224,7618
1225,1807
1226,6514
1227,3470
1228,3977
1229,5570
1230,954
1231,3486
1232,7694
1233,1789
1234,6307
1235,7250
1236,5403
1237,2346
1238,5212
1239,8179
1240,4815
1241,5943
1242,5472
1243,865
1244,6464
1245,2155
1246,6078
1247,4736
1248,7924
1249,4703
1250,4254
1251,2731
1252,435
1253,3191
1254,3554
1255,6634
1256,6909
1257,2206
1258,1845
1259,3387
1260,1228
1261,7118
1262,7009
1263,3525
1264,4323
1265,1737
1266,57
1267,5576
1268,1350
1269,2105
1270,258
1271,328
1272,3573
1273,1644
1274,1328
1275,7930
1276,256
1277,5028
1278,2556
1279,1749
1280,779
1281,1959
1282,5526
1283,1432
1284,4941
1285,1058
1286,7286
1287,5781
1288,6012
1289,5900
1290,6430
1291,31
1292,3128
1293,396
1294,2104
1295,7413
1296,4181
1297,4364
1298,4432
1299,80
1300,811
1301,8052
1302,1400
1303,2836
1304,4025
1305,3431
1306,6279
1307,7093
1308,3358
1309,1209
1310,1010
1311,85
1312,4100
1313,3424
1314,2557
1315,4457
1316,5236
1317,6349
1318,1571
1319,83
1320,3352
1321,881
1322,2091
1323,6693
1324,6374
1325,6559
1326,795
1327,4934
1328,2328
1329,4921
1330,7960
1331,5852
1332,1338
1333,133
1334,7894
1335,6939
1336,3405
1337,5785
